RecSupervisionLevel,ScaleID,Age,Gender,Ethnicity,Language,LegalStatus,CustodyStatus,MaritalStatus,AssessmentType,class
4,8,20,1,1,0,5,2,4,0,3
2,18,51,1,1,0,5,0,4,1,3
3,7,40,0,1,0,5,0,4,1,2
1,8,59,1,4,0,5,0,4,1,1
4,7,21,1,1,0,5,0,4,1,3
1,18,44,0,5,0,5,2,0,1,2
3,7,20,1,4,0,5,0,4,0,3
2,18,39,1,5,0,4,4,1,1,3
4,8,21,1,1,0,5,0,4,1,3
4,18,40,1,1,0,5,0,4,1,3
1,7,31,0,4,0,4,4,4,1,1
1,8,26,1,5,0,5,0,1,1,1
4,7,22,1,4,0,5,0,4,1,3
1,7,35,1,1,0,5,0,4,1,1
1,18,59,1,4,0,4,4,0,1,1
1,18,33,0,1,0,5,0,4,1,1
3,8,33,1,1,0,4,4,4,1,3
3,8,40,1,1,0,5,0,4,1,3
1,18,42,0,8,0,5,0,1,1,1
1,7,22,1,8,0,4,4,1,1,2
3,7,31,1,4,0,4,4,4,1,1
4,7,23,0,4,0,4,4,4,1,3
4,7,22,1,1,0,5,0,4,1,3
1,8,45,1,8,0,5,0,3,1,1
1,7,51,1,4,0,5,2,4,0,1
3,8,22,1,1,0,5,0,4,1,3
4,7,21,1,8,0,5,0,4,1,3
1,7,50,0,4,0,5,0,4,1,1
1,7,38,1,4,0,5,0,4,1,1
1,18,53,1,4,0,5,0,1,1,1
3,8,31,1,4,0,4,4,4,1,3
1,18,32,0,4,0,5,0,0,1,1
1,8,21,1,4,0,5,0,4,1,1
3,8,18,1,4,0,5,0,4,1,3
3,8,20,1,4,0,4,4,4,1,3
3,8,21,0,4,0,4,4,4,1,3
4,7,23,1,5,0,5,2,4,1,3
3,18,50,1,4,0,4,4,4,1,2
1,18,45,0,4,0,4,4,4,1,3
2,8,58,1,1,0,5,0,4,1,2
3,18,46,1,4,0,5,2,4,0,3
3,8,28,1,1,0,4,4,4,1,3
2,8,19,0,4,0,5,2,4,1,2
1,8,28,1,1,0,5,0,3,1,2
3,8,28,1,1,0,5,2,4,1,3
1,7,27,0,4,0,5,0,1,1,1
1,7,42,1,1,0,5,0,4,1,1
4,8,26,1,1,0,5,0,4,1,3
2,18,22,1,4,0,4,4,4,1,1
1,18,30,1,5,0,4,4,4,1,3
1,18,42,0,4,0,5,0,1,1,3
1,7,26,1,1,0,5,2,4,1,2
1,8,47,1,5,0,5,0,5,1,1
1,8,52,1,1,0,5,0,4,1,1
1,7,53,1,1,0,5,0,1,1,1
2,7,35,0,1,0,5,0,4,1,1
4,8,23,1,4,0,5,0,4,1,3
3,18,45,1,4,0,5,2,4,1,3
1,7,24,1,4,0,4,4,4,1,1
3,18,28,1,1,0,4,4,4,1,3
3,7,19,1,1,0,5,0,4,1,3
1,7,50,1,4,0,5,0,4,0,1
3,8,23,1,1,0,5,0,4,1,3
3,8,32,1,1,0,4,4,4,1,3
1,7,25,0,1,0,5,0,4,1,1
1,7,41,0,4,0,2,4,1,1,1
4,8,25,1,1,0,5,0,4,0,3
4,8,19,1,1,0,5,0,4,1,3
1,8,26,1,5,0,4,4,4,1,1
2,7,30,1,4,0,4,4,4,1,1
3,7,22,1,1,0,5,0,4,1,3
2,18,25,1,4,0,5,0,1,1,1
4,8,22,1,4,0,5,0,4,1,3
3,7,32,1,1,0,5,0,4,1,3
